cord_uid,title,abstract,authors,journal,publish_time
c19-0001,"ACE2 Receptor Expression and SARS-CoV-2 Cell Entry in Human Airway Epithelium","SARS-CoV-2 uses the ACE2 receptor as its primary entry point into human airway epithelial cells. The spike protein binds ACE2 and is primed by the host protease TMPRSS2, facilitating membrane fusion. High ACE2 expression in nasal epithelium may explain early upper respiratory tract infection.","Chen L; Wang Y; Zhou H","Nature Medicine",2020-03-15
c19-0002,"Remdesivir Inhibits SARS-CoV-2 Replication in Vitro","Remdesivir, a nucleotide analogue prodrug, was shown to inhibit SARS-CoV-2 replication in Vero E6 cells by targeting the viral RNA-dependent RNA polymerase (RdRp). The drug had previously been evaluated against Ebola virus and MERS-CoV.","Gao Q; Sun J; Li M","Cell Research",2020-02-04
c19-0003,"Hydroxychloroquine and Azithromycin Combination Therapy for COVID-19: An Open-Label Trial","An open-label non-randomized trial evaluated hydroxychloroquine, alone and combined with azithromycin, in patients with COVID-19. Viral load reduction was reported, though the study was later criticized for methodological limitations.","Gautret P; Lagier JC; Parola P","International Journal of Antimicrobial Agents",2020-03-20
c19-0004,"Clinical Features of Patients Infected with 2019 Novel Coronavirus in Wuhan, China","This retrospective study describes the clinical characteristics of 41 patients admitted to Jin Yin-tan Hospital, Wuhan, with laboratory-confirmed 2019-nCoV infection. Common symptoms included fever, cough, and myalgia. Some patients developed acute respiratory distress syndrome (ARDS).","Huang C; Wang Y; Li X","The Lancet",2020-01-24
c19-0005,"BNT162b2 mRNA COVID-19 Vaccine Elicits Robust Neutralizing Antibody Response","The BNT162b2 mRNA vaccine, developed by Pfizer and BioNTech, encodes the SARS-CoV-2 spike glycoprotein. Phase I/II trial participants developed neutralizing antibodies at levels comparable to or exceeding convalescent sera.","Mulligan MJ; Lyke KE; Kitchin N","Nature",2020-10-01
c19-0006,"Cytokine Storm and Interleukin-6 in Severe COVID-19 Pneumonia","Severe COVID-19 cases are associated with a hyperinflammatory state termed cytokine storm, characterized by elevated interleukin-6 (IL-6), IL-1, and TNF-alpha. Tocilizumab, an IL-6 receptor antagonist, was proposed as a treatment for critically ill patients.","Mehta P; McAuley DF; Brown M","The Lancet",2020-03-28
c19-0007,"Angiotensin-Converting Enzyme 2 as a SARS-CoV-2 Receptor: Structural Insights","Cryo-electron microscopy structures reveal how the SARS-CoV-2 spike receptor-binding domain engages ACE2. These structural insights inform the design of neutralizing antibodies and vaccine immunogens targeting the spike protein.","Yan R; Zhang Y; Li Y","Science",2020-03-04
c19-0008,"Dexamethasone Reduces Mortality in Hospitalized COVID-19 Patients Requiring Oxygen","The RECOVERY trial found that dexamethasone, a corticosteroid, reduced 28-day mortality among hospitalized COVID-19 patients receiving invasive mechanical ventilation or supplemental oxygen, but not among patients without respiratory support.","Horby P; Lim WS; Emberson JR","New England Journal of Medicine",2020-07-17
c19-0009,"TMPRSS2 Protease Inhibitor Camostat Mesylate Blocks SARS-CoV-2 Cell Entry","Camostat mesylate, a clinically approved TMPRSS2 inhibitor, partially blocked SARS-CoV-2 entry into lung cells in vitro. Combined blockade of TMPRSS2 and cathepsin B/L pathways fully prevented viral entry.","Hoffmann M; Kleine-Weber H; Schroeder S","Cell",2020-03-05
c19-0010,"Convalescent Plasma Therapy for Severe COVID-19: A Case Series","A case series of critically ill COVID-19 patients treated with convalescent plasma from recovered donors showed clinical improvement and reduced viral load, suggesting passive antibody transfer as a potential treatment strategy.","Shen C; Wang Z; Zhao F","JAMA",2020-03-27
